Date,EPS Estimate,Reported EPS,Surprise(%)
2022-10-25 12:00:00-04:00,2.3,2.35,0.020499999999999997
2022-07-26 12:00:00-04:00,2.29,2.23,-0.027400000000000004
2022-04-26 12:00:00-04:00,2.19,2.22,0.016
2022-01-25 11:00:00-05:00,2.31,2.48,0.0725
2021-10-26 12:00:00-04:00,2.07,2.27,0.0941
2021-07-27 12:00:00-04:00,1.92,2.17,0.1326
2021-04-27 12:00:00-04:00,1.78,1.95,0.09630000000000001
2021-01-26 11:00:00-05:00,1.64,2.03,0.23690000000000003
2020-10-27 12:00:00-04:00,1.54,1.82,0.1791
2020-07-22 12:00:00-04:00,1.34,1.46,0.08720000000000001
2020-04-29 12:00:00-04:00,1.26,1.4,0.107
2020-01-29 11:00:00-05:00,1.32,1.51,0.1449
